name,salary,area_name,published_at
Разработчик React Native,135000.0,Москва,2022-12-29T14:45:45+0300
IT Relationship менеджер/ИТ бизнес-партнер блок CEO (в Банк),250000.0,Москва,2022-12-29T12:11:35+0300
Системный администратор,,Минск,2022-12-29T12:14:35+0300
Senior Java-разработчик,,Самара,2022-12-29T12:00:05+0300
Product analyst,,Москва,2022-12-29T18:15:36+0300
Стажер на техническую поддержку корпоративного сайта (удаленно),34600.0,Санкт-Петербург,2022-12-29T10:35:28+0300
Head of Affiliates (Gambling),,Москва,2022-12-29T18:15:36+0300
Системный администратор,55000.0,Москва,2022-12-29T14:51:19+0300
Менеджер it-проектов,140000.0,Москва,2022-12-29T13:43:18+0300
Руководитель IT проектов (удаленно),200000.0,Москва,2022-12-29T12:18:09+0300
Специалист технической поддержки в IT - компанию,40000.0,Ростов-на-Дону,2022-12-29T13:08:14+0300
"Проектный Менеджер (IT проекты, Remote)",,США,2022-12-29T15:12:09+0300
Руководитель IT проектов / IT Project manager / PM,60000.0,Москва,2022-12-29T09:00:13+0300
Руководитель ИТ-отдела,,Сургут,2022-12-29T15:24:47+0300
"Администратор систем виртуализации (VMware vSphere, MS Hyper-V)",,Казань,2022-12-29T12:28:09+0300
Системный администратор,,Москва,2022-12-29T15:48:39+0300
Архитектор IT,,Санкт-Петербург,2022-12-29T12:58:24+0300
Специалист по информационным технологиям,42000.0,Екатеринбург,2022-12-29T14:35:51+0300
Проектный менеджер IT-школы,95000.0,Улан-Удэ,2022-12-29T14:02:09+0300
"Администратор систем виртуализации (VMware vSphere, MS Hyper-V)",,Вологда,2022-12-29T13:12:52+0300
Специалист технической поддержки,50000.0,Москва,2022-12-29T15:42:31+0300
"Администратор систем виртуализации (VMware vSphere, MS Hyper-V)",,Вологда,2022-12-29T12:27:04+0300
"Администратор систем виртуализации (VMware vSphere, MS Hyper-V)",,Ярославль,2022-12-29T12:27:44+0300
Специалист службы технической поддержки,,Иваново (Ивановская область),2022-12-29T15:42:32+0300
Программист-наставник,75000.0,Москва,2022-12-29T17:31:34+0300
Пресейл инженер (Код Безопасности / Инфотекс / Гарда Технологии),,Москва,2022-12-29T09:11:10+0300
Главный специалист управления развития ИТ-архитектуры департамента информационных технологий,,Минск,2022-12-29T16:34:14+0300
Аналитик / Специалист по внедрению CRM-решений,40000.0,Пенза,2022-12-29T14:57:22+0300
Специалист технической поддержки,37500.0,Казань,2022-12-29T15:40:09+0300
Менеджер проектов,42500.0,Тюмень,2022-12-29T17:56:19+0300
Системный администратор,60000.0,Щелково,2022-12-29T12:22:12+0300
Инженер IT - сервиса,50000.0,Красноярск,2022-12-29T09:02:22+0300
Специалист по информационной безопасности,,Сургут,2022-12-29T15:25:44+0300
Ведущий системный администратор,,Санкт-Петербург,2022-12-29T17:06:12+0300
Программист 1C (работа в аккредитованной IT-компании) Удаленно.,170000.0,Чебоксары,2022-12-29T16:23:13+0300
Начинающий IT специалист по обслуживанию POS-терминального оборудования,60000.0,Нефтеюганск,2022-12-29T12:46:50+0300
Системный администратор,95000.0,Санкт-Петербург,2022-12-29T10:28:28+0300
Руководитель ИТ-проектов,,Владимир,2022-12-29T09:00:18+0300
Бизнес-аналитик,,Ростов-на-Дону,2022-12-29T13:46:20+0300
Специалист по технической поддержке,35000.0,Архангельск,2022-12-29T14:48:37+0300
IT-инженер (слаботочные системы),100000.0,Москва,2022-12-29T13:46:19+0300
Senior IT Project manager / Менеджер IT-проектов,,Санкт-Петербург,2022-12-29T15:06:58+0300
Преподаватель дисциплин по IT,,Москва,2022-12-29T10:05:25+0300
Специалист по Информационной безопасности (IT Security Specialist),,Ташкент,2022-12-29T13:38:48+0300
Программист 1С (IT-компания),,Санкт-Петербург,2022-12-29T16:25:45+0300
Программист 1С,150000.0,Екатеринбург,2022-12-29T15:46:52+0300
Системный администратор (кассовое оборудование),50000.0,Тверь,2022-12-29T09:28:06+0300
Главный менеджер по работе с клиентами / Менеджер проектов IT,,Санкт-Петербург,2022-12-29T16:46:02+0300
Программист/системный администратор 1С,90000.0,Пятигорск,2022-12-29T11:54:04+0300
Системный администратор Linux-серверов,,Курган,2022-12-29T09:47:15+0300
Ведущий системный администратор,,Зеленоград,2022-12-29T15:40:33+0300
Инженер по информационной безопасности,,Санкт-Петербург,2022-12-29T16:02:02+0300
Программист,,Ярославль,2022-12-29T13:10:29+0300
Программист,,Вологда,2022-12-29T13:10:06+0300
Специалист технической поддержки,57500.0,Москва,2022-12-29T15:16:03+0300
Инженер DevOps (аккредитованная IT компания),,Москва,2022-12-29T12:18:58+0300
Программист 1С,125000.0,Тюмень,2022-12-29T13:54:22+0300
Системный аналитик,,Санкт-Петербург,2022-12-29T18:01:22+0300
Ведущий системный администратор,,Химки,2022-12-29T15:40:38+0300
Младший консультант/консультант SAP,,Уфа,2022-12-29T13:02:46+0300
System Analyst,,Москва,2022-12-29T14:04:13+0300
Администратор 1С,,Череповец,2022-12-29T13:06:25+0300
Младший консультант/консультант SAP,,Москва,2022-12-29T13:03:15+0300
Младший консультант/консультант SAP,,Казань,2022-12-29T13:02:23+0300
Младший консультант/консультант SAP,,Санкт-Петербург,2022-12-29T13:02:01+0300
1С Специалист-программист,,Санкт-Петербург,2022-12-29T14:32:17+0300
Team Lead,200000.0,Новосибирск,2022-12-29T11:41:02+0300
Project Manager junior,50000.0,Санкт-Петербург,2022-12-29T17:00:45+0300
Старший сервисный инженер,55000.0,Нижний Новгород,2022-12-29T13:27:11+0300
Аналитик поддержки 1С (SLA),,Москва,2022-12-29T13:00:27+0300
Technical writer,,Гомель,2022-12-29T11:28:00+0300
Дежурный сетевой администратор,,Санкт-Петербург,2022-12-29T17:12:04+0300
Программист,,Череповец,2022-12-29T13:11:04+0300
Бизнес-аналитик,,Череповец,2022-12-29T15:16:49+0300
Специалист по техническому обеспечению,34750.0,Пятигорск,2022-12-29T11:36:39+0300
Начальник отдела технической защиты информации,80000.0,Тверь,2022-12-29T13:36:15+0300
Web разработчик Angular,,Санкт-Петербург,2022-12-29T12:50:35+0300
Сервисный инженер,50000.0,Екатеринбург,2022-12-29T12:57:48+0300
Специалист/Разработчик 1С,130000.0,Москва,2022-12-29T14:19:53+0300
Аналитик информационной безопасности,,Москва,2022-12-29T17:55:39+0300
Консультант 1С,,Казань,2022-12-29T13:05:16+0300
Инженер по сопровождению информационных систем,,Уфа,2022-12-29T14:40:29+0300
Ночной системный инженер дежурный,,Москва,2022-12-29T12:24:29+0300
Системный аналитик 1С,123250.0,Новосибирск,2022-12-29T10:48:31+0300
Системный аналитик 1С,123250.0,Екатеринбург,2022-12-29T10:48:31+0300
Системный аналитик 1С,123250.0,Томск,2022-12-29T10:48:31+0300
Системный аналитик на WEB проекты,,Хабаровск,2022-12-29T12:33:46+0300
Бизнес-аналитик,90000.0,Екатеринбург,2022-12-29T11:44:37+0300
Специалист (программист),,Череповец,2022-12-29T12:26:21+0300
Системный аналитик 1С,123250.0,Барнаул,2022-12-29T10:48:31+0300
"Ведущий эксперт / Руководитель проекта ""Цифровая кафедра""",70000.0,Томск,2022-12-29T11:17:11+0300
Системный аналитик,,Москва,2022-12-29T12:44:24+0300
Руководитель проекта,50000.0,Екатеринбург,2022-12-29T10:51:55+0300
Web разработчик Angular,,Екатеринбург,2022-12-29T12:50:35+0300
Web-разработчик,100000.0,Новосибирск,2022-12-29T15:27:48+0300
SRE инженер,,Санкт-Петербург,2022-12-29T17:48:53+0300
Консультант 1С,,Череповец,2022-12-29T13:05:43+0300
Бизнес Аналитик (ИС система управления хранением и доставкой МТР),,Санкт-Петербург,2022-12-29T17:06:07+0300
Web разработчик Angular,,Нижний Новгород,2022-12-29T12:50:35+0300
Специалист-программист,,Череповец,2022-12-29T13:08:25+0300
Технический проджект-менеджер,,Москва,2022-12-29T15:45:40+0300
Бизнес-аналитик,90000.0,Березовский (Свердловская область),2022-12-29T11:44:37+0300
Ведущий программист 1С,200000.0,Москва,2022-12-29T11:53:19+0300
Инженер связи,47500.0,Ленинск-Кузнецкий,2022-12-29T11:50:46+0300
Разработчик 1С,,Санкт-Петербург,2022-12-29T17:03:53+0300
Консультант SAP HCM,,Москва,2022-12-29T12:41:03+0300
Декан Инженерной школы информационных технологий и робототехники (в г. Томск),150000.0,Екатеринбург,2022-12-29T11:58:08+0300
Специалист 1С,130000.0,Москва,2022-12-29T17:17:05+0300
Разработчик средств автоматизации ( программист С# ),150000.0,Зеленоград,2022-12-29T09:35:09+0300
Программист 1С,100000.0,Екатеринбург,2022-12-29T09:15:28+0300
Консультант SAP HCM,,Санкт-Петербург,2022-12-29T12:41:03+0300
System Analyst Middle,,Санкт-Петербург,2022-12-29T16:52:16+0300
Функциональный архитектор 1С по ЗУП,220000.0,Санкт-Петербург,2022-12-29T14:27:39+0300
Разработчик Creatio,,Москва,2022-12-29T12:29:54+0300
Консультант SAP HCM,,Екатеринбург,2022-12-29T12:41:03+0300
Программист 1С,,Казань,2022-12-29T12:55:18+0300
Разработчик Creatio,,Санкт-Петербург,2022-12-29T12:29:54+0300
Руководитель службы эксплуатации,,Оренбург,2022-12-29T11:28:56+0300
Программист 1С,,Санкт-Петербург,2022-12-29T12:55:18+0300
Консультант-аналитик Hyperion Planning,,Москва,2022-12-29T15:46:20+0300
Программист 1С,,Санкт-Петербург,2022-12-29T11:29:05+0300
Программист Delphi,,Казань,2022-12-29T13:04:22+0300
ML Engineer (Lip synchronization),200000.0,Санкт-Петербург,2022-12-29T14:56:15+0300
